! Relational table of sequence name and sequence id 
! sequence id define: stn_id.dev_id.cmd_type.obj_id.opr
! sequence id 		sequence name
!
!**********************机组操作ID*********************


1.1.6.265.49.23	PBG.LCU1R.SYS.UNIT_STA_Start
1.1.6.265.49.27	PBG.LCU1R.SYS.UNIT_STA_Stop
1.1.5.723.54.2	PBG.LCU1R.SYS.UNIT_STA_SGStop
1.1.5.722.54.2	PBG.LCU1R.SYS.UNIT_STA_ESDStop
1.1.6.265.49.3	PBG.1F.SGYJ.FGLC_CLOSE


!!*****************有功、无功调节流程 ***********************!
1.1.12.20.52.0	PBG.F1.ANA.LCU_G_AIPW
1.1.12.21.53.0	PBG.F1.ANA.LCU_G_AIQW

!**********************手动开机停机 BY WX*********************
1.1.14.21.54.1		PBG.F1.OBJ.FZKP_CSQ_OBJ_OPEN
1.1.14.21.54.2		PBG.F1.OBJ.FZKP_CSQ_OBJ_CLOSE
1.1.14.20.54.1		PBG.F1.OBJ.FZKP_FC_OBJ_OPEN
1.1.14.20.54.2		PBG.F1.OBJ.FZKP_FC_OBJ_CLOSE
1.1.14.32.54.1		PBG.F1.OBJ.FDJ_FZSBKZ_OBJ_OPEN
1.1.14.32.54.2		PBG.F1.OBJ.FDJ_FZSBKZ_OBJ_CLOSE
1.1.6.923.0.3    	PBG.F1.SYS.S_1FFS_SW1_STOP
1.1.6.924.0.3    	PBG.F1.SYS.S_1FFS_SW2_STOP
1.1.6.925.0.3    	PBG.F1.SYS.S_1FFS_SW3_STOP
1.1.6.926.0.3    	PBG.F1.SYS.S_1FFS_SW4_STOP
1.1.6.927.0.3    	PBG.F1.SYS.S_1FFS_SW5_STOP
1.1.6.928.0.3    	PBG.F1.SYS.S_1FFS_SW6_STOP 
1.1.6.929.0.3     	PBG.F1.SYS.S_1FFS_SW7_STOP
1.1.6.923.0.1    	PBG.F1.SYS.S_1FFS_SW1_OPEN
1.1.6.924.0.1    	PBG.F1.SYS.S_1FFS_SW2_OPEN
1.1.6.925.0.1    	PBG.F1.SYS.S_1FFS_SW3_OPEN 
1.1.6.926.0.1    	PBG.F1.SYS.S_1FFS_SW4_OPEN
1.1.6.927.0.1    	PBG.F1.SYS.S_1FFS_SW5_OPEN
1.1.6.928.0.1    	PBG.F1.SYS.S_1FFS_SW6_OPEN 
1.1.6.929.0.1    	PBG.F1.SYS.S_1FFS_SW7_OPEN
1.1.14.23.0.1    	PBG.F1.OBJ.JSKP_GJS_OBJ_OPEN
1.1.14.23.0.2    	PBG.F1.OBJ.JSKP_GJS_OBJ_CLOSE
1.1.6.1109.0.1    	PBG.F1.SYS.S_1FJGK_1SB1_OPEN
1.1.6.1109.0.3   	PBG.F1.SYS.S_1FJGK_1SB1_STOP
1.1.6.1110.0.1    	PBG.F1.SYS.S_1FJGK_1SB2_OPEN
1.1.6.1110.0.3    	PBG.F1.SYS.S_1FJGK_1SB2_STOP
1.1.6.1113.0.1    	PBG.F1.SYS.S_1FJGK_1SBF3_OPEN
1.1.6.1113.0.2    	PBG.F1.SYS.S_1FJGK_1SBF3_CLOSE
1.1.6.1114.0.1    	PBG.F1.SYS.S_1FJGK_1SBF4_OPEN
1.1.6.1114.0.2    	PBG.F1.SYS.S_1FJGK_1SBF4_CLOSE
1.1.14.26.0.1		PBG.F1.OBJ.FDJ_RD_OBJ_OPEN
1.1.14.26.0.2     	PBG.F1.OBJ.FDJ_RD_OBJ_CLOSE
1.1.14.24.0.1     	PBG.F1.OBJ.FKTL_OIL_OBJ_OPEN
1.1.14.24.0.2		PBG.F1.OBJ.FKTL_OIL_OBJ_CLOSE
1.1.6.874.0.1    	PBG.F1.SYS.S_1FTL_YB1_OPEN
1.1.6.875.0.1    	PBG.F1.SYS.S_1FTL_YB2_OPEN
1.1.6.876.0.1    	PBG.F1.SYS.S_1FTL_YB3_OPEN
1.1.6.877.0.1    	PBG.F1.SYS.S_1FTL_YB4_OPEN
1.1.6.878.0.1     	PBG.F1.SYS.S_1FTL_YB5_OPEN
1.1.6.879.0.1     	PBG.F1.SYS.S_1FTL_YB6_OPEN
1.1.6.880.0.1    	PBG.F1.SYS.S_1FTL_YB7_OPEN
1.1.6.881.0.1    	PBG.F1.SYS.S_1FTL_YB8_OPEN
1.1.6.874.0.3    	PBG.F1.SYS.S_1FTL_YB1_STOP
1.1.6.875.0.3    	PBG.F1.SYS.S_1FTL_YB2_STOP
1.1.6.876.0.3    	PBG.F1.SYS.S_1FTL_YB3_STOP
1.1.6.877.0.3    	PBG.F1.SYS.S_1FTL_YB4_STOP
1.1.6.878.0.3    	PBG.F1.SYS.S_1FTL_YB5_STOP
1.1.6.879.0.3    	PBG.F1.SYS.S_1FTL_YB6_STOP
1.1.6.880.0.3    	PBG.F1.SYS.S_1FTL_YB7_STOP
1.1.6.881.0.3    	PBG.F1.SYS.S_1FTL_YB8_STOP
1.1.14.19.0.1 		PBG.F1.OBJ.MFX_1TDK_OBJ_OPEN
1.1.14.19.0.2   	PBG.F1.OBJ.MFX_1TDK_OBJ_CLOSE
1.1.14.18.0.1  		PBG.F1.OBJ.JLQX_3DP_OBJ_OPEN
1.1.14.18.0.2 	   	PBG.F1.OBJ.JLQX_3DP_OBJ_CLOSE
1.1.5.262.0.1  		PBG.F1.POL.SLJX_SD_DI21_OPEN
1.1.5.262.0.2  		PBG.F1.POL.SLJX_SD_DI21_CLOSE
1.1.6.629.0.1		PBG.F1.SYS.S_1FTSDQ_SW1_OPEN
1.1.6.629.0.2		PBG.F1.SYS.S_1FTSDQ_SW1_CLOSE
1.1.6.576.54.1		PBG.F1.SYS.S_1FLCU_SW3_OPEN
1.1.6.576.54.2		PBG.F1.SYS.S_1FLCU_SW3_CLOSE
1.1.14.1.0.1      	PBG.F1.OBJ.EXIT_OBJ_OPEN
1.1.14.1.0.2   		PBG.F1.OBJ.EXIT_OBJ_CLOSE		
1.1.4.190.51.1		PBG.F1.INT.LCP_LC_SOE21_OPEN
1.1.4.190.51.2		PBG.F1.INT.LCP_LC_SOE21_CLOSE
1.1.4.189.51.1		PBG.F1.INT.LCP_LC_SOE70_OPEN
1.1.4.189.51.2		PBG.F1.INT.LCP_LC_SOE70_CLOSE
1.1.14.0.50.1     	PBG.F1.OBJ.DLKP_DL1_OBJ_OPEN
1.1.14.0.50.2     	PBG.F1.OBJ.DLKP_DL1_OBJ_CLOSE
1.1.4.147.51.1		PBG.F1.INT.DLKP_DL1_SOE11_OPEN
1.1.4.147.51.2		PBG.F1.INT.DLKP_DL1_SOE11_CLOSE
1.1.6.574.0.2		PBG.F1.SYS.S_1FLCU_SW1_CLOSE
1.1.6.577.54.1		PBG.F1.SYS.S_1FLCU_SW4_OPEN
1.1.6.577.54.2		PBG.F1.SYS.S_1FLCU_SW4_CLOSE
1.1.6.575.51.2		PBG.F1.SYS.S_1FLCU_SW2_CLOSE
1.1.14.14.0.1 		PBG.F1.OBJ.SLJX_1DCF_OBJ_OPEN
1.1.14.14.0.2 		PBG.F1.OBJ.SLJX_1DCF_OBJ_CLOSE
1.1.14.15.0.1		PBG.F1.OBJ.SLJX_2DCF_OBJ_OPEN 
1.1.14.15.0.2		PBG.F1.OBJ.SLJX_2DCF_OBJ_CLOSE
1.1.14.10.0.2     	PBG.F1.OBJ.ZDP_2GDKB_OBJ_CLOSE
1.1.14.7.0.2      	PBG.F1.OBJ.ZDP_1GDKA_OBJ_CLOSE
1.1.14.8.0.2      	PBG.F1.OBJ.ZDP_1GDKB_OBJ_CLOSE
1.1.14.9.0.2     	PBG.F1.OBJ.ZDP_2GDKA_OBJ_CLOSE
1.1.5.1218.54.2         PBG.F1.POL.BY_1218_CLOSE
1.1.5.1226.54.2         PBG.F1.POL.BY_1226_CLOSE
1.1.5.1234.54.2         PBG.F1.POL.BY_1234_CLOSE
1.1.5.1242.54.2         PBG.F1.POL.BY_1242_CLOSE
1.1.5.1250.54.2         PBG.F1.POL.BY_1250_CLOSE
1.1.5.1258.54.2         PBG.F1.POL.BY_1258_CLOSE
1.1.5.1266.54.2         PBG.F1.POL.BY_1266_CLOSE
1.1.5.1274.54.2         PBG.F1.POL.BY_1274_CLOSE


!************************1F操作**************************
1.1.14.6.0.1 		PBG.F1.OBJ.LCP_FCB_OBJ_OPEN
1.1.14.6.0.2		PBG.F1.OBJ.LCP_FCB_OBJ_CLOSE
1.1.4.200.0.1    	PBG.F1.INT.LCP_FCB_SOE11_OPEN
1.1.4.200.0.2		PBG.F1.INT.LCP_FCB_SOE11_CLOSE
1.1.14.3.0.1		PBG.F1.OBJ.DLKP_G11_OBJ_OPEN
1.1.14.3.0.2		PBG.F1.OBJ.DLKP_G11_OBJ_CLOSE
1.1.4.149.51.1		PBG.F1.INT.DLKP_G1_SOE11_OPEN
1.1.4.149.51.2		PBG.F1.INT.DLKP_G1_SOE11_CLOSE
1.1.4.151.51.1		PBG.F1.INT.DLKP_G117_SOE11_OPEN
1.1.4.151.51.2		PBG.F1.INT.DLKP_G117_SOE11_CLOSE
1.1.4.153.51.1    	PBG.F1.INT.DLKP_G127_S11_OPEN
1.1.4.153.51.2    	PBG.F1.INT.DLKP_G127_S11_CLOSE
1.23.14.2.55.7		PBG.LCU11.OBJ.JKP1_DOOR1_OBJ_CLOSE
1.23.14.2.55.1		PBG.LCU11.OBJ.JKP1_DOOR1_OBJ_OPEN
1.23.6.893.55.7		PBG.LCU11.SYS.S_JSK1ZK_AN_CLOSE			
1.23.6.893.55.1		PBG.LCU11.SYS.S_JSK1ZK_AN_OPEN	
1.1.6.1055.0.1		PBG.F1.SYS.S_1FTSQ_BQF2_OPEN
1.1.6.1055.0.2		PBG.F1.SYS.S_1FTSQ_BQF2_CLOSE
1.24.6.1436.0.1		PBG.LCU12.SYS.S_1FWSZM_CZ_OPEN
1.24.6.1436.0.2		PBG.LCU12.SYS.S_1FWSZM_CZ_CLOSE
1.24.6.1437.0.1		PBG.LCU12.SYS.S_1FWSDZM_CZ_OPEN
1.24.6.1437.0.2		PBG.LCU12.SYS.S_1FWSDZM_CZ_CLOSE


!**********************倒闸1ID BY WX*********************
1.22.6.1071.0.1	  PBG.LCU10.SYS.S_BHSZL4_1ZK_OPEN
1.22.6.1071.0.2   PBG.LCU10.SYS.S_BHSZL4_1ZK_CLOSE
1.22.6.1075.0.2   PBG.LCU10.SYS.S_BHSZL5_2ZK_CLOSE
1.22.6.1075.0.1   PBG.LCU10.SYS.S_BHSZL5_2ZK_OPEN
1.22.6.814.0.2    PBG.LCU10.SYS.S_10KV883_SW2_CLOSE
1.22.6.814.0.1    PBG.LCU10.SYS.S_10KV883_SW2_OPEN
1.22.6.883.0.2    PBG.LCU10.SYS.S_10KV8232_SW2_CLOSE
1.22.6.883.0.1    PBG.LCU10.SYS.S_10KV8232_SW2_OPEN
1.22.6.924.0.2    PBG.LCU10.SYS.S_10KV8422_SW2_CLOSE
1.22.6.924.0.1    PBG.LCU10.SYS.S_10KV8422_SW2_OPEN
1.22.6.902.0.2    PBG.LCU10.SYS.S_10KV8432_SW2_CLOSE
1.22.6.902.0.1    PBG.LCU10.SYS.S_10KV8432_SW2_OPEN
1.22.6.873.0.2    PBG.LCU10.SYS.S_10KV8332_SW2_CLOSE
1.22.6.873.0.1    PBG.LCU10.SYS.S_10KV8332_SW2_OPEN


!**********************倒闸1ID 现场合分闸 BY WX*********************

1.22.6.659.0.1    PBG.LCU10.SYS.S_10KV7001_SW2_OPEN
1.22.6.659.0.2    PBG.LCU10.SYS.S_10KV7001_SW2_CLOSE
1.22.6.674.51.1    PBG.LCU10.SYS.S_10KV7411_SW2_OPEN
1.22.6.674.51.2    PBG.LCU10.SYS.S_10KV7411_SW2_CLOSE
1.22.6.684.0.1    PBG.LCU10.SYS.S_10KV7421_SW2_OPEN
1.22.6.684.0.2    PBG.LCU10.SYS.S_10KV7421_SW2_CLOSE
1.22.6.696.0.1    PBG.LCU10.SYS.S_10KV702_SW2_OPEN
1.22.6.696.0.2    PBG.LCU10.SYS.S_10KV702_SW2_CLOSE
1.22.6.706.0.1    PBG.LCU10.SYS.S_10KV7431_SW2_OPEN
1.22.6.706.0.2    PBG.LCU10.SYS.S_10KV7431_SW2_CLOSE
1.22.6.715.0.1    PBG.LCU10.SYS.S_10KV791_SW2_OPEN
1.22.6.715.0.2    PBG.LCU10.SYS.S_10KV791_SW2_CLOSE
1.22.6.725.0.1    PBG.LCU10.SYS.S_10KV7231_SW2_OPEN
1.22.6.725.0.2    PBG.LCU10.SYS.S_10KV7231_SW2_CLOSE
1.22.6.735.0.1    PBG.LCU10.SYS.S_10KV7331_SW2_OPEN
1.22.6.735.0.2    PBG.LCU10.SYS.S_10KV7331_SW2_CLOSE
1.22.6.745.0.1    PBG.LCU10.SYS.S_10KV7511_SW2_OPEN
1.22.6.745.0.2    PBG.LCU10.SYS.S_10KV7511_SW2_CLOSE
1.22.6.755.0.1    PBG.LCU10.SYS.S_10KV7440_SW2_OPEN
1.22.6.755.0.2    PBG.LCU10.SYS.S_10KV7440_SW2_CLOSE
1.22.6.765.0.1    PBG.LCU10.SYS.S_10KV7251_SW2_OPEN
1.22.6.765.0.2    PBG.LCU10.SYS.S_10KV7251_SW2_CLOSE
1.22.6.775.0.1    PBG.LCU10.SYS.S_10KV7261_SW2_OPEN
1.22.6.775.0.2    PBG.LCU10.SYS.S_10KV7261_SW2_CLOSE
1.22.6.784.0.1    PBG.LCU10.SYS.S_10KV792_SW2_OPEN
1.22.6.784.0.2    PBG.LCU10.SYS.S_10KV792_SW2_CLOSE
1.22.6.800.0.1    PBG.LCU10.SYS.S_10KV708_SW2_OPEN 
1.22.6.800.0.2    PBG.LCU10.SYS.S_10KV708_SW2_CLOSE
1.22.6.823.0.1    PBG.LCU10.SYS.S_10KV892_SW2_OPEN
1.22.6.823.0.2    PBG.LCU10.SYS.S_10KV892_SW2_CLOSE
1.22.6.833.0.1    PBG.LCU10.SYS.S_10KV8262_SW2_OPEN
1.22.6.833.0.2    PBG.LCU10.SYS.S_10KV8262_SW2_CLOSE
1.22.6.843.0.1    PBG.LCU10.SYS.S_10KV8252_SW2_OPEN
1.22.6.843.0.2    PBG.LCU10.SYS.S_10KV8252_SW2_CLOSE
1.22.6.853.0.1    PBG.LCU10.SYS.S_10KV8450_SW2_OPEN
1.22.6.853.0.2    PBG.LCU10.SYS.S_10KV8450_SW2_CLOSE
1.22.6.863.0.1    PBG.LCU10.SYS.S_10KV8512_SW2_OPEN
1.22.6.863.0.2    PBG.LCU10.SYS.S_10KV8512_SW2_CLOSE
1.22.6.892.0.1    PBG.LCU10.SYS.S_10KV891_SW2_OPEN
1.22.6.892.0.2    PBG.LCU10.SYS.S_10KV891_SW2_CLOSE
