!!SCT,EX,,,,,,,,
!!ID,VALUE,DESC,ETYPE,FTYPE,STATION,VALUES,PORT,DEVNAME,TYPE
SXS_CT2530_B_02_CP04_006_1,0,实训室2530电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2530_B_02_CP04_006_2,0,实训室2530电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2530_B_02_DX01_001_1,0,实训室2530电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2530_B_02_DX01_002_1,0,实训室2530电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2501_B_02_CP04_006_1,0,实训室2501电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2501_B_02_CP04_006_2,0,实训室2501电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2501_B_02_DX01_001_1,0,实训室2501电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2501_B_02_DX01_002_1,0,实训室2501电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2502_B_02_CP04_006_1,0,实训室2502电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2502_B_02_CP04_006_2,0,实训室2502电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2502_B_02_DX01_001_1,0,实训室2502电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2502_B_02_DX01_002_1,0,实训室2502电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_2502CT_C_YXFH_1,0,实训室2502电流互感器C相引线发红,线路,引线发红,实训室,0,0,0,0
SXS_CT2503_B_02_CP04_006_1,0,实训室2503电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2503_B_02_CP04_006_2,0,实训室2503电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2503_B_02_DX01_001_1,0,实训室2503电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2503_B_02_DX01_002_1,0,实训室2503电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2550_B_02_CP04_006_1,0,实训室2550电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2550_B_02_CP04_006_2,0,实训室2550电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2550_B_02_DX01_001_1,0,实训室2550电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2550_B_02_DX01_002_1,0,实训室2550电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2600_B_03_CP04_006_1,0,实训室2600电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2600_B_03_CP04_006_2,0,实训室2600电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2600_B_03_DX01_001_1,0,实训室2600电流互感器B相靠开关侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2600_B_03_DX01_002_1,0,实训室2600电流互感器B相靠刀闸侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2500_B_03_CP04_006_1,0,实训室2500电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2500_B_03_CP04_006_2,0,实训室2500电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2500_B_03_DX01_001_1,0,实训室2500电流互感器B相靠开关侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2500_B_03_DX01_002_1,0,实训室2500电流互感器B相靠刀闸侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_K253004_CP12_023_1,0,实训室2530开关B首端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP12_023_2,0,实训室2530开关B首端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP11_020_1,0,实训室2530开关B首端瓷瓶下段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP11_020_2,0,实训室2530开关B首端瓷瓶下段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP07_026_1,0,实训室2530开关B末端瓷瓶破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP07_026_2,0,实训室2530开关B末端瓷瓶积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_DX01_001_1,0,实训室2530开关A相接地线松脱,开关,接地线,实训室,0,0,0,0
SXS_K250104_CP12_023_1,0,实训室2501开关B首端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP12_023_2,0,实训室2501开关B首端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP11_020_1,0,实训室2501开关B首端瓷瓶下段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP11_020_2,0,实训室2501开关B首端瓷瓶下段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP07_026_1,0,实训室2501开关B末端瓷瓶破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP07_026_2,0,实训室2501开关B末端瓷瓶积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_DX01_001_1,0,实训室2501开关A相接地线松脱,开关,接地线,实训室,0,0,0,0
SXS_K250204_CP12_023_1,0,实训室2502开关B首端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250204_CP12_023_2,0,实训室2502开关B首端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
