!!sas,ex3d,
!!id,desc,answer
SXS_PTZB1_A_01_CP05_008_1,实训室1号主变500kV侧电压互感器A相瓷瓶上段破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_PTZB1_A_01_CP03_006_1,实训室1号主变500kV侧电压互感器A相瓷瓶下段破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_PTZB1_A_01_CP04_007_1,实训室1号主变500kV侧电压互感器A相瓷瓶中段破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_A_01_CP05_006_1,实训室1号主变高压侧避雷器A相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_A_01_CP08_009_1,实训室1号主变高压侧避雷器A相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_A_01_CP09_010_1,实训室1号主变高压侧避雷器A相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_A_01_CP10_011_1,实训室1号主变高压侧避雷器A相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_A_02_CP03_008_1,实训室1号主变高压侧避雷器A相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_A_02_CP03_009_1,实训室1号主变高压侧避雷器A相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_A_02_CP05_005_1,实训室1号主变高压侧避雷器A相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_A_02_CP05_006_1,实训室1号主变高压侧避雷器A相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_PTZB1_B_01_CP05_008_1,实训室1号主变500kV侧电压互感器B相瓷瓶上段破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_PTZB1_B_01_CP03_006_1,实训室1号主变500kV侧电压互感器B相瓷瓶下段破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_PTZB1_B_01_CP04_007_1,实训室1号主变500kV侧电压互感器B相瓷瓶中段破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_B_01_CP05_006_1,实训室1号主变高压侧避雷器B相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_B_01_CP08_009_1,实训室1号主变高压侧避雷器B相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_B_01_CP09_010_1,实训室1号主变高压侧避雷器B相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_B_01_CP10_011_1,实训室1号主变高压侧避雷器B相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_B_02_CP03_008_1,实训室1号主变高压侧避雷器B相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_B_02_CP03_009_1,实训室1号主变高压侧避雷器B相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_B_02_CP05_005_1,实训室1号主变高压侧避雷器B相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_LZB1_B_02_CP05_006_1,实训室1号主变高压侧避雷器B相瓷瓶破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_PTZB1_C_01_CP05_008_1,实训室1号主变500kV侧电压互感器C相瓷瓶上段破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_PTZB1_C_01_CP03_006_1,实训室1号主变500kV侧电压互感器C相瓷瓶下段破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
SXS_PTZB1_C_01_CP04_007_1,实训室1号主变500kV侧电压互感器C相瓷瓶中段破损,1、向网调汇报并申请立即停电处理、同时向地调、班长和班组现场工程师、中心运行专职汇报。@2、加强对缺陷进行跟踪、监视，以及时掌握设备缺陷的发展情况，并做好相关记录。
