浓度范围(暂定)R   G    B   (共分了5个等级) 左开右闭
[0.0  0.1)    128 128 64
[0.1  0.2)    128 128 0
[0.2  0.3)    0   0   0
[0.3  0.4)    255 128 0
[0.4  1.0)    255 128 64
水深范围           R   G    B   (共分了5个等级)
[0.0   5.0)       142 199 255
[5.0   10.0)      96  175 255
[10.0  15.0 )     38  147 255
[15.0  20.0)      0   125 251
[20.0  999.0)     0   99  198

温度范围   R   G    B   (共分了10个等级)
-40    -10)    17    49    139
[-10    -5)    78    138    221
[-5    0)    193    231    250
[0    5)    251    241    170
[5    10)    242    155    0
[10    15)    240    132    10
[15    20)    238    102    24
[20    25)    224    63    22
[25    30)    208    36    14
[30    99)    169    2    16
